case,round,sample,wall_ms,thread_cpu_ms,device_ms,budget_ms
fft_512,0,124,0.031872,0.034048,,
fft_512,0,125,0.031328,0.033504,,
fft_512,0,126,0.031233,0.033184,,
fft_512,0,127,0.03312,0.035232,,
fft_512,0,128,0.032513,0.034656,,
fft_512,0,129,0.032032,0.034016,,
fft_512,0,130,0.031329,0.033376,,
fft_512,0,131,0.0312,0.033376,,
fft_512,0,132,0.031809,0.033888,,
fft_512,0,133,0.031712,0.033696,,
fft_512,0,134,0.031776,0.03392,,
fft_512,0,135,0.031745,0.033792,,
fft_512,0,136,0.031488,0.033536,,
fft_512,0,137,0.031649,0.033696,,
fft_512,0,138,0.030912,0.032928,,
fft_512,0,139,0.031265,0.033184,,
fft_512,0,140,0.03168,0.033632,,
fft_512,0,141,0.031713,0.03392,,
fft_512,0,142,0.03152,0.033472,,
fft_512,0,143,0.031361,0.03344,,
fft_512,0,144,0.03216,0.03408,,
fft_512,0,145,0.031776,0.033792,,
fft_512,0,146,0.031585,0.033664,,
fft_512,0,147,0.032608,0.034816,,
fft_512,0,148,0.032321,0.034464,,
fft_512,0,149,0.035936,0.038208,,
fft_512,0,150,0.032833,0.034976,,
fft_512,0,151,0.032192,0.03424,,
fft_512,0,152,0.032192,0.034368,,
fft_512,0,153,0.031937,0.034112,,
fft_512,0,154,0.03232,0.034336,,
fft_512,0,155,0.031969,0.034112,,
fft_512,0,156,0.031808,0.033792,,
fft_512,0,157,0.032001,0.034048,,
fft_512,0,158,0.031648,0.03376,,
fft_512,0,159,0.031745,0.033824,,
fft_512,0,160,0.035265,0.0376,,
fft_512,0,161,0.033024,0.035104,,
fft_512,0,162,0.032608,0.034656,,
fft_512,0,163,0.032577,0.034816,,
fft_512,0,164,0.032448,0.034464,,
fft_512,0,165,0.031553,0.033664,,
fft_512,0,166,0.03152,0.033696,,
fft_512,0,167,0.031521,0.033664,,
fft_512,0,168,0.038848,0.03568,,
fft_512,0,169,0.034272,0.036544,,
fft_512,0,170,0.032737,0.034752,,
fft_512,0,171,0.031936,0.03392,,
fft_512,0,172,0.031809,0.033824,,
fft_512,0,173,0.032448,0.034624,,
fft_512,0,174,0.031873,0.033984,,
fft_512,0,175,0.031584,0.033664,,
fft_512,0,176,0.031232,0.033376,,
fft_512,0,177,0.031585,0.033632,,
fft_512,0,178,0.031808,0.034016,,
fft_512,0,179,0.031521,0.033824,,
fft_512,0,180,0.031648,0.033792,,
fft_512,0,181,0.031649,0.033792,,
fft_512,0,182,0.031936,0.033952,,
fft_512,0,183,0.032225,0.034176,,
fft_512,0,184,0.031424,0.033504,,
fft_512,0,185,0.031936,0.033888,,
fft_512,0,186,0.032545,0.034656,,
fft_512,0,187,0.031968,0.034016,,
fft_512,0,188,0.031681,0.033792,,
fft_512,0,189,0.032,0.034048,,
fft_512,0,190,0.032897,0.03504,,
fft_512,0,191,0.035936,0.038208,,
fft_512,0,192,0.032992,0.034944,,
fft_512,0,193,0.032769,0.034912,,
fft_512,0,194,0.032192,0.034304,,
fft_512,0,195,0.031809,0.033824,,
fft_512,0,196,0.031808,0.03392,,
fft_512,0,197,0.032193,0.034304,,
fft_512,0,198,0.031936,0.03392,,
fft_512,0,199,0.033056,0.035424,,
replay_750_1_sequential,0,0,14.360587,13.031744,,10
replay_750_1_sequential,0,1,14.459757,13.098464,,10
replay_750_1_sequential,0,2,14.402731,13.009664,,10
replay_750_1_sequential,0,3,14.352331,12.99632,,10
replay_750_1_sequential,0,4,14.381995,13.032704,,10
replay_750_1_sequential,0,5,14.402219,13.03024,,10
replay_750_1_sequential,0,6,14.401196,13.011712,,10
replay_750_1_sequential,0,7,14.401196,13.039904,,10
replay_750_1_sequential,0,8,14.310634,12.966624,,10
replay_750_1_sequential,0,9,14.374891,12.985088,,10
replay_750_1_sequential,0,10,14.445868,13.038496,,10
replay_750_1_sequential,0,11,14.470412,13.081792,,10
replay_750_1_sequential,0,12,16.114496,13.394144,,10
replay_750_1_sequential,0,13,14.42318,13.048992,,10
replay_750_1_sequential,0,14,14.398636,13.022016,,10
replay_750_1_sequential,0,15,14.4139,13.063264,,10
replay_750_1_sequential,0,16,14.376139,13.028256,,10
replay_750_1_sequential,0,17,14.41854,13.024,,10
replay_750_1_sequential,0,18,14.485133,13.082112,,10
replay_750_1_sequential,0,19,14.420971,13.057856,,10
replay_750_1_sequential,0,20,14.325995,12.98112,,10
