accepted,expected_hops,completed_hops,dropped_hops,late_hops,late_percent,age_p99_ms,age_max_ms,service_p95_ms,service_median_ms,replay_expected,replay_completed,replay_dropped,replay_late,people,beams_per_person,candidate_beams,selected_streams,origin_ns,elapsed_s,process_cpu_percent_one_core,shared_history_bytes,backend,threads,modeled_live_access_MB_s,sampled_rss_peak_bytes,sampled_rss_increase_bytes,cupy_reserved_bytes,cupy_used_bytes,directory
True,1500,1500,0,0,0.0,7.1373782,9.798397,5.941471549999999,3.9730914999999998,0,0,0,0,2,1,2,2,15157223723467,15.05148504,41.99369891903028,1169408,gpu,4,33.51297221898578,1366011904,1242935296,408064,0,gpu_4t_people2_beams1_round2
True,1500,1500,0,0,0.0,7.467968229999999,9.738265,5.86238005,3.9120670000000004,0,0,0,0,2,4,8,2,15190093711922,15.062783997,41.74645911204973,1169408,gpu,4,77.62867742330276,1401982976,1275473920,1061888,0,gpu_4t_people2_beams4_round0
True,1500,1500,0,2,0.13333333333333333,7.54251939,13.106292,6.05045405,4.053077,0,0,0,0,2,4,8,2,15209916785444,15.050517002,42.36816887231501,1169408,gpu,4,77.69194904365186,1361575936,1236873216,1061888,0,gpu_4t_people2_beams4_round1
True,1500,1500,0,3,0.2,7.322743849999999,26.836012,5.89388495,3.985172,0,0,0,0,2,4,8,2,15229828972381,15.060097085,41.99866743609344,1169408,gpu,4,77.64252736223314,1367650304,1238261760,1061888,0,gpu_4t_people2_beams4_round2
True,1500,1500,0,2,0.13333333333333333,7.656420789999999,18.390531,6.126671049999999,4.005188,0,0,0,0,4,1,4,4,15249496148921,15.056498991,42.30840633430523,1169408,gpu,4,50.67472859766885,1367556096,1244790784,637440,0,gpu_4t_people4_beams1_round0
True,1500,1500,0,4,0.26666666666666666,7.97499675,19.26441,6.024351599999999,4.019412,0,0,0,0,4,1,4,4,15269214803279,15.050458027,42.29292280128795,1169408,gpu,4,50.6950684577993,1362214912,1236668416,637440,0,gpu_4t_people4_beams1_round1
True,1500,1500,0,6,0.4,7.60971248,24.784719,6.057326999999999,4.008948,0,0,0,0,4,1,4,4,15288900575429,15.054149772,42.08976462736839,1169408,gpu,4,50.68263645278153,1371504640,1242791936,637440,0,gpu_4t_people4_beams1_round2
True,1500,1500,0,3,0.2,7.13836637,23.020961,5.9538193999999995,4.03282,0,0,0,0,4,4,16,4,15308724737101,15.056524322,42.143304285609055,1169408,gpu,4,138.99303419861337,1364869120,1236279296,2113536,0,gpu_4t_people4_beams4_round0
True,1500,1500,0,0,0.0,7.66987068,9.669839,6.00990745,4.024532000000001,0,0,0,0,4,4,16,4,15328700317620,15.054674761,42.10203797581789,1169408,gpu,4,139.01011036262267,1365569536,1242419200,2113536,0,gpu_4t_people4_beams4_round1
True,1500,1500,0,2,0.13333333333333333,7.76601747,10.995132,6.1984528,4.015171499999999,0,0,0,0,4,4,16,4,15348484415892,15.056173444,42.70089353807898,1169408,gpu,4,138.99627337475826,1372463104,1242611712,2113536,0,gpu_4t_people4_beams4_round2
