case,round,sample,wall_ms,thread_cpu_ms,device_ms,budget_ms
replay_750_1_sequential,4,27,103.62939,103.332544,103.60944366455078,10
replay_750_1_sequential,4,28,103.346601,103.068896,103.32701110839844,10
replay_750_1_sequential,4,29,103.488556,103.180032,103.46854400634766,10
replay_750_1_sequential,4,30,103.581421,103.299456,103.56082916259766,10
replay_750_1_sequential,4,31,103.598957,103.305728,103.5789794921875,10
replay_750_1_sequential,4,32,103.525612,103.230912,103.49795532226562,10
replay_750_1_sequential,4,33,103.564332,103.26368,103.54415893554688,10
replay_750_1_sequential,4,34,103.539341,103.25744,103.51932525634766,10
replay_750_1_sequential,4,35,103.37489,103.06048,103.35504150390625,10
replay_750_1_sequential,4,36,103.901329,103.58944,103.8809585571289,10
replay_750_1_sequential,4,37,103.640269,103.355776,103.62041473388672,10
replay_750_1_sequential,4,38,103.793776,103.495168,103.77302551269531,10
replay_750_1_sequential,4,39,103.646734,103.369664,103.62649536132812,10
replay_transfer_750_4_sequential,4,0,106.142253,104.0704,106.11641693115234,10
replay_transfer_750_4_sequential,4,1,104.917182,104.201824,104.89555358886719,10
replay_transfer_750_4_sequential,4,2,105.267266,104.114048,105.24547576904297,10
replay_transfer_750_4_sequential,4,3,104.971199,103.791392,104.94989013671875,10
replay_transfer_750_4_sequential,4,4,105.106336,103.96528,105.08550262451172,10
replay_transfer_750_4_sequential,4,5,105.239906,104.077696,105.21858978271484,10
replay_transfer_750_4_sequential,4,6,106.020332,103.867872,105.99871826171875,10
replay_transfer_750_4_sequential,4,7,105.252738,104.056,105.23040008544922,10
replay_transfer_750_4_sequential,4,8,105.016543,103.848608,104.994140625,10
replay_transfer_750_4_sequential,4,9,104.087763,103.68,104.06451416015625,10
replay_transfer_750_4_sequential,4,10,106.158414,104.001056,106.13516998291016,10
replay_transfer_750_4_sequential,4,11,104.138004,103.699136,104.11663818359375,10
replay_transfer_750_4_sequential,4,12,104.222549,103.804192,104.20111846923828,10
replay_transfer_750_4_sequential,4,13,104.119539,103.686656,104.09782409667969,10
replay_transfer_750_4_sequential,4,14,104.999167,103.8192,104.97779083251953,10
replay_transfer_750_4_sequential,4,15,104.154996,103.754784,104.13279724121094,10
replay_transfer_750_4_sequential,4,16,105.939019,103.745184,105.91696166992188,10
replay_transfer_750_4_sequential,4,17,104.417143,103.705792,104.3954849243164,10
replay_transfer_750_4_sequential,4,18,106.024044,103.847136,106.00281524658203,10
replay_transfer_750_4_sequential,4,19,106.228975,103.904192,106.20579528808594,10
replay_transfer_750_4_sequential,4,20,105.247617,104.079776,105.22431945800781,10
replay_transfer_750_4_sequential,4,21,104.762588,103.567328,104.74153900146484,10
replay_transfer_750_4_sequential,4,22,105.679591,103.906368,105.65638732910156,10
replay_transfer_750_4_sequential,4,23,105.092832,103.896192,105.07145690917969,10
replay_transfer_750_4_sequential,4,24,105.266978,104.090496,105.24547576904297,10
replay_transfer_750_4_sequential,4,25,105.093279,103.915936,105.07081604003906,10
replay_transfer_750_4_sequential,4,26,104.356534,103.951616,104.33497619628906,10
replay_transfer_750_4_sequential,4,27,106.029356,103.837376,106.00729370117188,10
replay_transfer_750_4_sequential,4,28,104.738811,104.013984,104.71692657470703,10
replay_transfer_750_4_sequential,4,29,104.968862,103.795552,104.94767761230469,10
