baseline,candidate,baseline_case,candidate_case,boundary,baseline_median_ms,candidate_median_ms,speedup_median,time_reduction_percent,baseline_p95_ms,candidate_p95_ms,speedup_p95
cpu_1t,cpu_4t,replay_1000_4_batch,replay_1000_4_batch,host_input_output,21.086076,18.686815,1.128393254816297,11.378413887913519,26.164244899999996,29.662761999999997,0.882056933875544
cpu_1t,cpu_4t,replay_1000_4_sequential,replay_1000_4_sequential,host_input_output,25.7603395,26.655742,0.9664086447115222,-3.4758955719508267,34.06005655,27.818056849999998,1.22438661814727
cpu_1t,cpu_4t,replay_500_1_batch,replay_500_1_batch,host_input_output,5.440593,4.428053,1.228664833054166,18.610838928771166,7.484853849999999,5.455274599999999,1.3720397961268531
cpu_1t,cpu_4t,replay_500_1_sequential,replay_500_1_sequential,host_input_output,9.1721575,9.6396345,0.9515046965732986,-5.096696169903314,12.780448149999996,10.036134449999999,1.2734432976832029
cpu_1t,cpu_4t,replay_500_4_batch,replay_500_4_batch,host_input_output,9.2444465,8.0768485,1.1445610871616572,12.630264018511006,13.08423605,8.621570199999999,1.5176163676078402
cpu_1t,cpu_4t,replay_500_4_sequential,replay_500_4_sequential,host_input_output,12.929514000000001,13.3202545,0.9706656881067851,-3.0220818818093242,17.0471182,13.648962099999999,1.2489680955301357
cpu_1t,cpu_4t,replay_750_1_batch,replay_750_1_batch,host_input_output,8.18989,6.630287,1.2352240559119085,19.043027439928984,11.364710499999997,10.14144105,1.120620870739075
cpu_1t,cpu_4t,replay_750_1_sequential,replay_750_1_sequential,host_input_output,13.676883,14.400219499999999,0.9497690642840549,-5.288752561530274,17.951233249999998,14.62139415,1.2277374555284797
cpu_1t,cpu_4t,replay_750_4_batch,replay_750_4_batch,host_input_output,13.5392495,12.005583000000001,1.1277461077900173,11.32755918265631,17.7425624,20.495038549999997,0.8657003672725467
cpu_1t,cpu_4t,replay_750_4_sequential,replay_750_4_sequential,host_input_output,19.2455895,19.8526525,0.9694215672187885,-3.1542967286089185,23.5954628,20.18729765,1.1688272105107638
cpu_1t,cpu_4t,stream_1_baseline_live_age,stream_1_baseline_live_age,host_input_output,0.9988885000000001,1.2797505,0.7805337837336263,-28.11745254850766,1.83639545,2.21240605,0.8300444893467906
cpu_1t,cpu_4t,stream_1_baseline_live_service,stream_1_baseline_live_service,host_input_output,0.7588090000000001,1.0619805,0.7145225359599353,-39.95359833634022,1.5431213499999998,1.94786075,0.7922133807562989
cpu_1t,cpu_4t,stream_1_replay750_live_age,stream_1_replay750_live_age,host_input_output,0.9928385,1.8861985,0.5263701036767869,-89.98039459589853,2.408888949999997,2.76124645,0.8723918685345878
cpu_1t,cpu_4t,stream_1_replay750_live_service,stream_1_replay750_live_service,host_input_output,0.740761,1.6485474999999998,0.44934161739349343,-122.54782581696388,1.6441256,2.151249,0.7642655964046933
cpu_1t,cpu_4t,stream_1_replay750_replay_age,stream_1_replay750_replay_age,host_input_output,26.133147,17.541567,1.4897840654714598,32.87617828805692,32.5998,21.787530099999998,1.496259550778544
cpu_1t,cpu_4t,stream_1_replay750_replay_service,stream_1_replay750_replay_service,host_input_output,25.263021,16.284674,1.5513372266463548,35.5394827879057,31.6799331,20.436915399999997,1.5501328101597958
cpu_1t,cpu_4t,stream_4_baseline_live_age,stream_4_baseline_live_age,host_input_output,1.167432,1.5205705,0.7677592061663698,-30.24917082965002,3.2527567,3.23245155,1.0062816564102872
