case,round,sample,wall_ms,budget_ms,device_ms
jetson_jetson_test_640x360_throughput_nvdec_native_decoder,0,125,6.997747,40.0,
jetson_jetson_test_640x360_throughput_nvdec_native_ready,0,125,7.03394,40.0,
jetson_jetson_test_640x360_throughput_nvdec_native_decoder,0,126,7.042036,40.0,
jetson_jetson_test_640x360_throughput_nvdec_native_ready,0,126,7.077684,40.0,
jetson_jetson_test_640x360_throughput_nvdec_native_decoder,0,127,7.038996,40.0,
jetson_jetson_test_640x360_throughput_nvdec_native_ready,0,127,7.076116,40.0,
jetson_jetson_test_640x360_throughput_nvdec_native_decoder,0,128,7.51049,40.0,
jetson_jetson_test_640x360_throughput_nvdec_native_ready,0,128,7.53273,40.0,
jetson_jetson_test_640x360_throughput_nvdec_native_decoder,0,129,7.26431,40.0,
jetson_jetson_test_640x360_throughput_nvdec_native_ready,0,129,7.285943,40.0,
jetson_jetson_test_640x360_throughput_nvdec_native_decoder,0,130,7.138294,40.0,
jetson_jetson_test_640x360_throughput_nvdec_native_ready,0,130,7.167702,40.0,
jetson_jetson_test_640x360_throughput_nvdec_native_decoder,0,131,7.412601,40.0,
jetson_jetson_test_640x360_throughput_nvdec_native_ready,0,131,7.449593,40.0,
jetson_jetson_test_640x360_throughput_nvdec_native_decoder,0,132,7.163446,40.0,
jetson_jetson_test_640x360_throughput_nvdec_native_ready,0,132,7.195926,40.0,
jetson_jetson_test_640x360_throughput_nvdec_native_decoder,0,133,7.028628,40.0,
jetson_jetson_test_640x360_throughput_nvdec_native_ready,0,133,7.063444,40.0,
jetson_jetson_test_640x360_throughput_nvdec_native_decoder,0,134,7.213622,40.0,
jetson_jetson_test_640x360_throughput_nvdec_native_ready,0,134,7.249783,40.0,
jetson_jetson_test_640x360_throughput_nvdec_native_decoder,0,135,6.915794,40.0,
jetson_jetson_test_640x360_throughput_nvdec_native_ready,0,135,6.950227,40.0,
jetson_jetson_test_640x360_throughput_nvdec_native_decoder,0,136,6.83909,40.0,
jetson_jetson_test_640x360_throughput_nvdec_native_ready,0,136,6.861586,40.0,
jetson_jetson_test_640x360_throughput_nvdec_native_decoder,0,137,7.030452,40.0,
jetson_jetson_test_640x360_throughput_nvdec_native_ready,0,137,7.053492,40.0,
jetson_jetson_test_640x360_throughput_nvdec_native_decoder,0,138,6.543727,40.0,
jetson_jetson_test_640x360_throughput_nvdec_native_ready,0,138,6.576495,40.0,
jetson_jetson_test_640x360_throughput_nvdec_native_decoder,0,139,6.949043,40.0,
jetson_jetson_test_640x360_throughput_nvdec_native_ready,0,139,6.988787,40.0,
jetson_jetson_test_640x360_throughput_nvdec_native_decoder,0,140,7.089013,40.0,
jetson_jetson_test_640x360_throughput_nvdec_native_ready,0,140,7.126454,40.0,
jetson_jetson_test_640x360_throughput_nvdec_native_decoder,0,141,6.834386,40.0,
jetson_jetson_test_640x360_throughput_nvdec_native_ready,0,141,6.870514,40.0,
jetson_jetson_test_640x360_throughput_nvdec_native_decoder,0,142,6.917139,40.0,
jetson_jetson_test_640x360_throughput_nvdec_native_ready,0,142,6.938611,40.0,
jetson_jetson_test_640x360_throughput_nvdec_native_decoder,0,143,6.915635,40.0,
jetson_jetson_test_640x360_throughput_nvdec_native_ready,0,143,6.937875,40.0,
jetson_jetson_test_640x360_throughput_nvdec_native_decoder,0,144,6.816594,40.0,
jetson_jetson_test_640x360_throughput_nvdec_native_ready,0,144,6.83701,40.0,
jetson_jetson_test_640x360_throughput_nvdec_native_decoder,0,145,6.773809,40.0,
jetson_jetson_test_640x360_throughput_nvdec_native_ready,0,145,6.805617,40.0,
jetson_jetson_test_640x360_throughput_nvdec_native_decoder,0,146,6.961011,40.0,
jetson_jetson_test_640x360_throughput_nvdec_native_ready,0,146,6.997812,40.0,
jetson_jetson_test_640x360_throughput_nvdec_native_decoder,0,147,6.905971,40.0,
jetson_jetson_test_640x360_throughput_nvdec_native_ready,0,147,6.942931,40.0,
jetson_jetson_test_640x360_throughput_nvdec_native_decoder,0,148,7.014324,40.0,
jetson_jetson_test_640x360_throughput_nvdec_native_ready,0,148,7.052597,40.0,
jetson_jetson_test_640x360_throughput_nvdec_native_decoder,0,149,6.723664,40.0,
jetson_jetson_test_640x360_throughput_nvdec_native_ready,0,149,6.761521,40.0,
jetson_jetson_test_640x360_paced_nvdec_native_decoder,0,0,1.783541,40.0,
jetson_jetson_test_640x360_paced_nvdec_native_ready,0,0,1.823094,40.0,
jetson_jetson_test_640x360_paced_nvdec_native_decoder,0,1,2.368444,40.0,
jetson_jetson_test_640x360_paced_nvdec_native_ready,0,1,2.435101,40.0,
