case,round,sampled_rss_peak_bytes,sampled_rss_increase_bytes,pss_after_bytes,steady_output_fps,python_copy_payload_MB_s,python_copy_read_write_MB_s,compressed_payload_MB_s
jetson_jetson_test_1920x1080_throughput_nvdec_rgb,3,118886400,99188736,67307520,63.2497396771247,393.4639805834573,786.9279611669147,1.7710865243317644
jetson_jetson_test_1920x1080_paced_nvdec_rgb,3,114642944,94822400,63102976,24.924000228843806,155.04722062359156,310.0944412471831,0.6979089742200465
jetson_jetson_test_1920x1080_throughput_nvdec_rgb,4,119336960,99528704,67494912,56.12069691618534,349.1156313762057,698.2312627524115,1.5714627530761323
jetson_jetson_test_1920x1080_throughput_software_native,4,152006656,132116480,68212736,339.27476076102863,0.0,0.0,9.5001965209204
jetson_jetson_test_1920x1080_throughput_nvdec_native,4,80117760,60456960,55395328,475.80089425021765,0.0,0.0,13.323130757110988
jetson_jetson_test_1920x1080_paced_nvdec_rgb,4,117153792,97382400,63358976,24.940364896817844,155.14902195012445,310.2980439002489,0.6983672091957466
jetson_jetson_test_1920x1080_throughput_software_rgb,4,185614336,166141952,143852544,32.78004070559894,203.91807722138992,407.83615444277984,0.9178897598171459
jetson_jetson_test_1920x1080_paced_software_native,4,108654592,88952832,68100096,25.013820719323444,0.0,0.0,0.700424081177157
jetson_jetson_test_1920x1080_paced_software_rgb,4,136339456,116527104,92478464,25.136905532635303,156.37166193741768,312.74332387483537,0.7038706385119274
jetson_jetson_test_1920x1080_paced_nvdec_native,4,84475904,64655360,57481216,24.975984848831388,0.0,0.0,0.6993646206844035
jetson_jetson_test_1920x1080_paced_software_native,5,112537600,92758016,71916544,25.00230965547472,0.0,0.0,0.7001017543159355
jetson_jetson_test_1920x1080_paced_nvdec_rgb,5,117207040,97513472,63368192,24.859637605913257,154.6468336188652,309.2936672377304,0.6961067253139666
jetson_jetson_test_1920x1080_throughput_nvdec_rgb,5,117669888,97972224,63872000,63.69282999600509,396.2203568391484,792.4407136782968,1.783493710461492
jetson_jetson_test_1920x1080_paced_nvdec_native,5,90357760,70533120,60150784,24.97508052674148,0.0,0.0,0.6993392983245762
jetson_jetson_test_1920x1080_throughput_software_rgb,5,184090624,164274176,143706112,32.76592870009844,203.8302892575724,407.6605785151448,0.9174946027319022
jetson_jetson_test_1920x1080_throughput_nvdec_native,5,84770816,65138688,55790592,476.4206791911396,0.0,0.0,13.340485654735138
jetson_jetson_test_1920x1080_paced_software_rgb,5,133472256,113803264,90772480,23.817507603249762,148.16395129829613,296.32790259659225,0.6669255395297875
jetson_jetson_test_1920x1080_throughput_software_native,5,153710592,134094848,72494080,330.13541350372293,0.0,0.0,9.244281242039706
