case,round,sample,wall_ms,budget_ms,device_ms
jetson_jetson_test_640x360_throughput_nvdec_native_ready,0,100,7.550141,40.0,
jetson_jetson_test_640x360_throughput_nvdec_native_decoder,0,101,7.753887,40.0,
jetson_jetson_test_640x360_throughput_nvdec_native_ready,0,101,7.801152,40.0,
jetson_jetson_test_640x360_throughput_nvdec_native_decoder,0,102,7.963554,40.0,
jetson_jetson_test_640x360_throughput_nvdec_native_ready,0,102,8.010691,40.0,
jetson_jetson_test_640x360_throughput_nvdec_native_decoder,0,103,8.305446,40.0,
jetson_jetson_test_640x360_throughput_nvdec_native_ready,0,103,8.357607,40.0,
jetson_jetson_test_640x360_throughput_nvdec_native_decoder,0,104,8.180453,40.0,
jetson_jetson_test_640x360_throughput_nvdec_native_ready,0,104,8.219173,40.0,
jetson_jetson_test_640x360_throughput_nvdec_native_decoder,0,105,7.753023,40.0,
jetson_jetson_test_640x360_throughput_nvdec_native_ready,0,105,7.790592,40.0,
jetson_jetson_test_640x360_throughput_nvdec_native_decoder,0,106,7.641726,40.0,
jetson_jetson_test_640x360_throughput_nvdec_native_ready,0,106,7.681887,40.0,
jetson_jetson_test_640x360_throughput_nvdec_native_decoder,0,107,7.462396,40.0,
jetson_jetson_test_640x360_throughput_nvdec_native_ready,0,107,7.49974,40.0,
jetson_jetson_test_640x360_throughput_nvdec_native_decoder,0,108,7.358459,40.0,
jetson_jetson_test_640x360_throughput_nvdec_native_ready,0,108,7.397948,40.0,
jetson_jetson_test_640x360_throughput_nvdec_native_decoder,0,109,7.345531,40.0,
jetson_jetson_test_640x360_throughput_nvdec_native_ready,0,109,7.390459,40.0,
jetson_jetson_test_640x360_throughput_nvdec_native_decoder,0,110,7.499708,40.0,
jetson_jetson_test_640x360_throughput_nvdec_native_ready,0,110,7.547101,40.0,
jetson_jetson_test_640x360_throughput_nvdec_native_decoder,0,111,7.188568,40.0,
jetson_jetson_test_640x360_throughput_nvdec_native_ready,0,111,7.231577,40.0,
jetson_jetson_test_640x360_throughput_nvdec_native_decoder,0,112,7.470972,40.0,
jetson_jetson_test_640x360_throughput_nvdec_native_ready,0,112,7.513501,40.0,
jetson_jetson_test_640x360_throughput_nvdec_native_decoder,0,113,7.164633,40.0,
jetson_jetson_test_640x360_throughput_nvdec_native_ready,0,113,7.203769,40.0,
jetson_jetson_test_640x360_throughput_nvdec_native_decoder,0,114,7.254521,40.0,
jetson_jetson_test_640x360_throughput_nvdec_native_ready,0,114,7.299706,40.0,
jetson_jetson_test_640x360_throughput_nvdec_native_decoder,0,115,7.460156,40.0,
jetson_jetson_test_640x360_throughput_nvdec_native_ready,0,115,7.504957,40.0,
jetson_jetson_test_640x360_throughput_nvdec_native_decoder,0,116,7.537789,40.0,
jetson_jetson_test_640x360_throughput_nvdec_native_ready,0,116,7.584157,40.0,
jetson_jetson_test_640x360_throughput_nvdec_native_decoder,0,117,8.031875,40.0,
jetson_jetson_test_640x360_throughput_nvdec_native_ready,0,117,8.073667,40.0,
jetson_jetson_test_640x360_throughput_nvdec_native_decoder,0,118,7.879649,40.0,
jetson_jetson_test_640x360_throughput_nvdec_native_ready,0,118,7.91661,40.0,
jetson_jetson_test_640x360_throughput_nvdec_native_decoder,0,119,7.700991,40.0,
jetson_jetson_test_640x360_throughput_nvdec_native_ready,0,119,7.736191,40.0,
jetson_jetson_test_640x360_throughput_nvdec_native_decoder,0,120,7.956674,40.0,
jetson_jetson_test_640x360_throughput_nvdec_native_ready,0,120,7.999267,40.0,
jetson_jetson_test_640x360_throughput_nvdec_native_decoder,0,121,8.028227,40.0,
jetson_jetson_test_640x360_throughput_nvdec_native_ready,0,121,8.071876,40.0,
jetson_jetson_test_640x360_throughput_nvdec_native_decoder,0,122,7.716799,40.0,
jetson_jetson_test_640x360_throughput_nvdec_native_ready,0,122,7.761247,40.0,
jetson_jetson_test_640x360_throughput_nvdec_native_decoder,0,123,7.836801,40.0,
jetson_jetson_test_640x360_throughput_nvdec_native_ready,0,123,7.881025,40.0,
jetson_jetson_test_640x360_throughput_nvdec_native_decoder,0,124,7.563165,40.0,
jetson_jetson_test_640x360_throughput_nvdec_native_ready,0,124,7.602686,40.0,
jetson_jetson_test_640x360_throughput_nvdec_native_decoder,0,125,7.320666,40.0,
jetson_jetson_test_640x360_throughput_nvdec_native_ready,0,125,7.357595,40.0,
jetson_jetson_test_640x360_throughput_nvdec_native_decoder,0,126,7.251737,40.0,
jetson_jetson_test_640x360_throughput_nvdec_native_ready,0,126,7.295449,40.0,
jetson_jetson_test_640x360_throughput_nvdec_native_decoder,0,127,7.167225,40.0,
jetson_jetson_test_640x360_throughput_nvdec_native_ready,0,127,7.211449,40.0,
jetson_jetson_test_640x360_throughput_nvdec_native_decoder,0,128,7.307066,40.0,
jetson_jetson_test_640x360_throughput_nvdec_native_ready,0,128,7.358267,40.0,
jetson_jetson_test_640x360_throughput_nvdec_native_decoder,0,129,7.437884,40.0,
jetson_jetson_test_640x360_throughput_nvdec_native_ready,0,129,7.478685,40.0,
jetson_jetson_test_640x360_throughput_nvdec_native_decoder,0,130,7.514812,40.0,
jetson_jetson_test_640x360_throughput_nvdec_native_ready,0,130,7.551133,40.0,
jetson_jetson_test_640x360_throughput_nvdec_native_decoder,0,131,7.330267,40.0,
jetson_jetson_test_640x360_throughput_nvdec_native_ready,0,131,7.367899,40.0,
jetson_jetson_test_640x360_throughput_nvdec_native_decoder,0,132,7.721823,40.0,
jetson_jetson_test_640x360_throughput_nvdec_native_ready,0,132,7.763808,40.0,
jetson_jetson_test_640x360_throughput_nvdec_native_decoder,0,133,7.742079,40.0,
jetson_jetson_test_640x360_throughput_nvdec_native_ready,0,133,7.785504,40.0,
jetson_jetson_test_640x360_throughput_nvdec_native_decoder,0,134,7.875169,40.0,
jetson_jetson_test_640x360_throughput_nvdec_native_ready,0,134,7.920385,40.0,
jetson_jetson_test_640x360_throughput_nvdec_native_decoder,0,135,8.185445,40.0,
jetson_jetson_test_640x360_throughput_nvdec_native_ready,0,135,8.227205,40.0,
jetson_jetson_test_640x360_throughput_nvdec_native_decoder,0,136,8.018786,40.0,
jetson_jetson_test_640x360_throughput_nvdec_native_ready,0,136,8.056515,40.0,
jetson_jetson_test_640x360_throughput_nvdec_native_decoder,0,137,7.759999,40.0,
jetson_jetson_test_640x360_throughput_nvdec_native_ready,0,137,7.81104,40.0,
jetson_jetson_test_640x360_throughput_nvdec_native_decoder,0,138,8.008707,40.0,
jetson_jetson_test_640x360_throughput_nvdec_native_ready,0,138,8.052227,40.0,
jetson_jetson_test_640x360_throughput_nvdec_native_decoder,0,139,8.605738,40.0,
jetson_jetson_test_640x360_throughput_nvdec_native_ready,0,139,8.648107,40.0,
jetson_jetson_test_640x360_throughput_nvdec_native_decoder,0,140,9.166033,40.0,
jetson_jetson_test_640x360_throughput_nvdec_native_ready,0,140,9.210385,40.0,
jetson_jetson_test_640x360_throughput_nvdec_native_decoder,0,141,9.284147,40.0,
jetson_jetson_test_640x360_throughput_nvdec_native_ready,0,141,9.324051,40.0,
jetson_jetson_test_640x360_throughput_nvdec_native_decoder,0,142,9.377108,40.0,
jetson_jetson_test_640x360_throughput_nvdec_native_ready,0,142,9.417844,40.0,
jetson_jetson_test_640x360_throughput_nvdec_native_decoder,0,143,9.363412,40.0,
jetson_jetson_test_640x360_throughput_nvdec_native_ready,0,143,9.40946,40.0,
jetson_jetson_test_640x360_throughput_nvdec_native_decoder,0,144,9.375859,40.0,
jetson_jetson_test_640x360_throughput_nvdec_native_ready,0,144,9.422804,40.0,
jetson_jetson_test_640x360_throughput_nvdec_native_decoder,0,145,9.929978,40.0,
jetson_jetson_test_640x360_throughput_nvdec_native_ready,0,145,9.975515,40.0,
jetson_jetson_test_640x360_throughput_nvdec_native_decoder,0,146,10.676516,40.0,
jetson_jetson_test_640x360_throughput_nvdec_native_ready,0,146,10.72218,40.0,
jetson_jetson_test_640x360_throughput_nvdec_native_decoder,0,147,10.6905,40.0,
jetson_jetson_test_640x360_throughput_nvdec_native_ready,0,147,10.731813,40.0,
jetson_jetson_test_640x360_throughput_nvdec_native_decoder,0,148,10.033339,40.0,
jetson_jetson_test_640x360_throughput_nvdec_native_ready,0,148,10.080764,40.0,
jetson_jetson_test_640x360_throughput_nvdec_native_decoder,0,149,9.908282,40.0,
jetson_jetson_test_640x360_throughput_nvdec_native_ready,0,149,9.95369,40.0,
jetson_jetson_test_640x360_paced_nvdec_native_decoder,0,0,1.630164,40.0,
jetson_jetson_test_640x360_paced_nvdec_native_ready,0,0,1.690484,40.0,
jetson_jetson_test_640x360_paced_nvdec_native_decoder,0,1,1.987288,40.0,
jetson_jetson_test_640x360_paced_nvdec_native_ready,0,1,2.052825,40.0,
jetson_jetson_test_640x360_paced_nvdec_native_decoder,0,2,1.94892,40.0,
jetson_jetson_test_640x360_paced_nvdec_native_ready,0,2,2.019193,40.0,
jetson_jetson_test_640x360_paced_nvdec_native_decoder,0,3,2.329405,40.0,
jetson_jetson_test_640x360_paced_nvdec_native_ready,0,3,2.400957,40.0,
jetson_jetson_test_640x360_paced_nvdec_native_decoder,0,4,2.057658,40.0,
jetson_jetson_test_640x360_paced_nvdec_native_ready,0,4,2.120059,40.0,
jetson_jetson_test_640x360_paced_nvdec_native_decoder,0,5,2.450367,40.0,
jetson_jetson_test_640x360_paced_nvdec_native_ready,0,5,2.532384,40.0,
jetson_jetson_test_640x360_paced_nvdec_native_decoder,0,6,2.461023,40.0,
jetson_jetson_test_640x360_paced_nvdec_native_ready,0,6,2.525919,40.0,
