stage,sequence,release_ns,queued_ns,start_ns,end_ns,age_ms,queue_ms,service_ms,output_samples
live,191,16571305382739,16571305528120,16571316451864,16571323333545,17.950806,10.923744,6.881681,30720
live,192,16571315382739,16571315566606,16571323572683,16571330638078,15.255339,8.006077,7.065395,30720
live,193,16571325382739,16571325527106,16571330762400,16571337510159,12.12742,5.235294,6.747759,30720
live,194,16571335382739,16571335519543,16571337627120,16571344283486,8.900747,2.107577,6.656366,30720
live,195,16571345382739,16571345529293,16571345585998,16571352327997,6.945258,0.056705,6.741999,30720
live,196,16571355382739,16571355516514,16571355580579,16571362493812,7.111073,0.064065,6.913233,30720
live,197,16571365382739,16571365511767,16571365568344,16571372275046,6.892307,0.056577,6.706702,30720
live,198,16571375382739,16571375505772,16571375564109,16571382305532,6.922793,0.058337,6.741423,30720
live,199,16571385382739,16571386624367,16571386725744,16571397813650,12.430911,0.101377,11.087906,30720
replay,199,16571385382739,16571386667375,16571386789905,16571908818106,523.435367,0.12253,522.028201,2338816
live,200,16571395382739,16571395807226,16571398148694,16571455746201,60.363462,2.341468,57.597507,30720
live,201,16571405382739,16571405696366,16571455925083,16571463154896,57.772157,50.228717,7.229813,30720
live,202,16571415382739,16571415596098,16571463328242,16571470450726,55.067987,47.732144,7.122484,30720
live,203,16571425382739,16571425918523,16571470590407,16571478592357,53.209618,44.671884,8.00195,30720
live,204,16571435382739,16571435550444,16571478723271,16571485966748,50.584009,43.172827,7.243477,30720
live,207,16571465382739,16571465569452,16571486097149,16571493598997,28.216258,20.527697,7.501848,30720
live,208,16571475382739,16571475582274,16571493781111,16571500860042,25.477303,18.198837,7.078931,30720
live,209,16571485382739,16571485684408,16571501002508,16571508056031,22.673292,15.3181,7.053523,30720
live,210,16571495382739,16571495598092,16571508187584,16571515147762,19.765023,12.589492,6.960178,30720
live,211,16571505382739,16571505611874,16571515287283,16571522293061,16.910322,9.675409,7.005778,30720
live,212,16571515382739,16571515573143,16571522426375,16571529997888,14.615149,6.853232,7.571513,30720
live,213,16571525382739,16571525552940,16571530121569,16571537209044,11.826305,4.568629,7.087475,30720
live,214,16571535382739,16571535634722,16571537333718,16571544292647,8.909908,1.698996,6.958929,30720
live,215,16571545382739,16571545544662,16571545613527,16571552585993,7.203254,0.068865,6.972466,30720
live,216,16571555382739,16571555538635,16571555610700,16571562638719,7.25598,0.072065,7.028019,30720
live,217,16571565382739,16571565531552,16571565602081,16571573249467,7.866728,0.070529,7.647386,30720
live,218,16571575382739,16571575534614,16571575613175,16571582796171,7.413432,0.078561,7.182996,30720
live,219,16571585382739,16571585541163,16571585625676,16571593652810,8.270071,0.084513,8.027134,30720
live,220,16571595382739,16571595534176,16571595605025,16571652583453,57.200714,0.070849,56.978428,30720
live,221,16571605382739,16571605642711,16571652774847,16571660133206,54.750467,47.132136,7.358359,30720
live,222,16571615382739,16571615594283,16571660289976,16571667438539,52.0558,44.695693,7.148563,30720
live,223,16571625382739,16571625542240,16571667579981,16571674728353,49.345614,42.037741,7.148372,30720
live,224,16571635382739,16571635573686,16571674885315,16571681985366,46.602627,39.311629,7.100051,30720
live,226,16571655382739,16571655574688,16571682127288,16571689269291,33.886552,26.5526,7.142003,30720
live,227,16571665382739,16571665561013,16571689402701,16571696624034,31.241295,23.841688,7.221333,30720
live,228,16571675382739,16571675589387,16571696761475,16571703794198,28.411459,21.172088,7.032723,30720
live,229,16571685382739,16571685599456,16571703950840,16571711012682,25.629943,18.351384,7.061842,30720
live,230,16571695382739,16571695746935,16571711146348,16571718207999,22.82526,15.399413,7.061651,30720
live,231,16571705382739,16571705592459,16571718342336,16571725336146,19.953407,12.749877,6.99381,30720
live,232,16571715382739,16571715581696,16571725485492,16571732786826,17.404087,9.903796,7.301334,30720
live,233,16571725382739,16571725659190,16571732940011,16571740443171,15.060432,7.280821,7.50316,30720
